"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 08 21:06:53 UTC 2025","Sun Jun 08 21:06:53 UTC 2025","65","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testDeleteOrderWithInvalidIds","Verify DELETE /store/order/{orderId} handles invalid order IDs","Test verifies proper error handling when deleting orders with invalid IDs"
"passed","Sun Jun 08 21:06:55 UTC 2025","Sun Jun 08 21:06:55 UTC 2025","46","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderSuccess","Verify POST /store/order creates orders successfully with various valid data","Test verifies that orders can be placed successfully with different valid data combinations"
"passed","Sun Jun 08 21:06:54 UTC 2025","Sun Jun 08 21:06:55 UTC 2025","47","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testOrderValidationBehaviorDocumentation","Verify API validation behavior and document current acceptance criteria","Test documents what the API currently accepts vs rejects to identify validation gaps"
"passed","Sun Jun 08 21:06:54 UTC 2025","Sun Jun 08 21:06:54 UTC 2025","50","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testOrderValidationBehaviorDocumentation","Verify API validation behavior and document current acceptance criteria","Test documents what the API currently accepts vs rejects to identify validation gaps"
"passed","Sun Jun 08 21:06:48 UTC 2025","Sun Jun 08 21:06:51 UTC 2025","2873","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreInventoryTest","com.petstore.tests.store.StoreInventoryTest","testGetInventoryResponseTime","Verify inventory response time is acceptable","Performance test to ensure inventory response time is within acceptable limits"
"failed","Sun Jun 08 21:06:56 UTC 2025","Sun Jun 08 21:06:56 UTC 2025","46","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderWithInvalidData","Verify POST /store/order rejects invalid order data with appropriate error codes","Validates that API properly rejects invalid order data and returns appropriate HTTP error codes (4xx)"
"passed","Sun Jun 08 21:06:51 UTC 2025","Sun Jun 08 21:06:52 UTC 2025","845","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreInventoryTest","com.petstore.tests.store.StoreInventoryTest","testInventoryAfterOrderPlacement","Verify inventory after placing a new order","Test verifies inventory changes after placing a new order"
"passed","Sun Jun 08 21:06:52 UTC 2025","Sun Jun 08 21:06:52 UTC 2025","55","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreInventoryTest","com.petstore.tests.store.StoreInventoryTest","testInventoryResponseHeaders","Verify inventory response headers","Test verifies all required headers are present in inventory response"
"failed","Sun Jun 08 21:06:56 UTC 2025","Sun Jun 08 21:06:56 UTC 2025","44","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderWithInvalidData","Verify POST /store/order rejects invalid order data with appropriate error codes","Validates that API properly rejects invalid order data and returns appropriate HTTP error codes (4xx)"
"passed","Sun Jun 08 21:06:55 UTC 2025","Sun Jun 08 21:06:55 UTC 2025","47","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderEdgeCases","Verify order creation with edge case values that should be accepted","Test verifies order creation with boundary/edge case values"
"passed","Sun Jun 08 21:06:55 UTC 2025","Sun Jun 08 21:06:55 UTC 2025","45","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderEdgeCases","Verify order creation with edge case values that should be accepted","Test verifies order creation with boundary/edge case values"
"passed","Sun Jun 08 21:06:55 UTC 2025","Sun Jun 08 21:06:55 UTC 2025","42","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testOrderValidationBehaviorDocumentation","Verify API validation behavior and document current acceptance criteria","Test documents what the API currently accepts vs rejects to identify validation gaps"
"failed","Sun Jun 08 21:06:56 UTC 2025","Sun Jun 08 21:06:57 UTC 2025","47","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderWithInvalidData","Verify POST /store/order rejects invalid order data with appropriate error codes","Validates that API properly rejects invalid order data and returns appropriate HTTP error codes (4xx)"
"passed","Sun Jun 08 21:06:51 UTC 2025","Sun Jun 08 21:06:51 UTC 2025","164","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreInventoryTest","com.petstore.tests.store.StoreInventoryTest","testGetInventorySuccess","Verify GET /store/inventory returns valid response","Test verifies inventory endpoint returns valid response with expected structure"
"passed","Sun Jun 08 21:06:57 UTC 2025","Sun Jun 08 21:06:58 UTC 2025","1609","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testRateLimiting","Verify API respects rate limiting",""
"passed","Sun Jun 08 21:06:53 UTC 2025","Sun Jun 08 21:06:53 UTC 2025","48","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testGetOrderWithInvalidIds","Verify GET /store/order/{orderId} handles invalid order IDs","Test verifies proper error handling when requesting orders with invalid IDs"
"passed","Sun Jun 08 21:06:55 UTC 2025","Sun Jun 08 21:06:55 UTC 2025","46","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testOrderValidationBehaviorDocumentation","Verify API validation behavior and document current acceptance criteria","Test documents what the API currently accepts vs rejects to identify validation gaps"
"passed","Sun Jun 08 21:06:52 UTC 2025","Sun Jun 08 21:06:53 UTC 2025","57","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testDeleteOrderWithInvalidIds","Verify DELETE /store/order/{orderId} handles invalid order IDs","Test verifies proper error handling when deleting orders with invalid IDs"
"passed","Sun Jun 08 21:06:55 UTC 2025","Sun Jun 08 21:06:55 UTC 2025","42","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testOrderValidationBehaviorDocumentation","Verify API validation behavior and document current acceptance criteria","Test documents what the API currently accepts vs rejects to identify validation gaps"
"passed","Sun Jun 08 21:06:56 UTC 2025","Sun Jun 08 21:06:56 UTC 2025","47","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderSuccess","Verify POST /store/order creates orders successfully with various valid data","Test verifies that orders can be placed successfully with different valid data combinations"
"failed","Sun Jun 08 21:06:56 UTC 2025","Sun Jun 08 21:06:56 UTC 2025","45","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderWithInvalidData","Verify POST /store/order rejects invalid order data with appropriate error codes","Validates that API properly rejects invalid order data and returns appropriate HTTP error codes (4xx)"
"passed","Sun Jun 08 21:06:55 UTC 2025","Sun Jun 08 21:06:55 UTC 2025","44","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderSuccess","Verify POST /store/order creates orders successfully with various valid data","Test verifies that orders can be placed successfully with different valid data combinations"
"passed","Sun Jun 08 21:06:54 UTC 2025","Sun Jun 08 21:06:54 UTC 2025","50","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testOrderValidationBehaviorDocumentation","Verify API validation behavior and document current acceptance criteria","Test documents what the API currently accepts vs rejects to identify validation gaps"
"failed","Sun Jun 08 21:06:56 UTC 2025","Sun Jun 08 21:06:56 UTC 2025","49","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderWithInvalidData","Verify POST /store/order rejects invalid order data with appropriate error codes","Validates that API properly rejects invalid order data and returns appropriate HTTP error codes (4xx)"
"passed","Sun Jun 08 21:06:54 UTC 2025","Sun Jun 08 21:06:54 UTC 2025","52","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testOrderValidationBehaviorDocumentation","Verify API validation behavior and document current acceptance criteria","Test documents what the API currently accepts vs rejects to identify validation gaps"
"passed","Sun Jun 08 21:06:55 UTC 2025","Sun Jun 08 21:06:55 UTC 2025","47","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderEdgeCases","Verify order creation with edge case values that should be accepted","Test verifies order creation with boundary/edge case values"
"passed","Sun Jun 08 21:06:53 UTC 2025","Sun Jun 08 21:06:53 UTC 2025","52","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testDeleteOrderWithInvalidIds","Verify DELETE /store/order/{orderId} handles invalid order IDs","Test verifies proper error handling when deleting orders with invalid IDs"
"passed","Sun Jun 08 21:06:53 UTC 2025","Sun Jun 08 21:06:53 UTC 2025","53","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testDeleteOrderWithInvalidIds","Verify DELETE /store/order/{orderId} handles invalid order IDs","Test verifies proper error handling when deleting orders with invalid IDs"
"failed","Sun Jun 08 21:06:56 UTC 2025","Sun Jun 08 21:06:56 UTC 2025","50","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderWithInvalidData","Verify POST /store/order rejects invalid order data with appropriate error codes","Validates that API properly rejects invalid order data and returns appropriate HTTP error codes (4xx)"
"passed","Sun Jun 08 21:06:53 UTC 2025","Sun Jun 08 21:06:53 UTC 2025","50","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testGetOrderWithInvalidIds","Verify GET /store/order/{orderId} handles invalid order IDs","Test verifies proper error handling when requesting orders with invalid IDs"
"passed","Sun Jun 08 21:06:53 UTC 2025","Sun Jun 08 21:06:53 UTC 2025","51","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testGetOrderWithInvalidIds","Verify GET /store/order/{orderId} handles invalid order IDs","Test verifies proper error handling when requesting orders with invalid IDs"
"failed","Sun Jun 08 21:06:56 UTC 2025","Sun Jun 08 21:06:56 UTC 2025","47","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderWithInvalidData","Verify POST /store/order rejects invalid order data with appropriate error codes","Validates that API properly rejects invalid order data and returns appropriate HTTP error codes (4xx)"
"passed","Sun Jun 08 21:06:55 UTC 2025","Sun Jun 08 21:06:55 UTC 2025","44","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderPerformance","Verify order response time is acceptable","Performance test to ensure order creation response time is within acceptable limits"
"passed","Sun Jun 08 21:06:56 UTC 2025","Sun Jun 08 21:06:56 UTC 2025","47","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderSuccess","Verify POST /store/order creates orders successfully with various valid data","Test verifies that orders can be placed successfully with different valid data combinations"
"passed","Sun Jun 08 21:06:53 UTC 2025","Sun Jun 08 21:06:53 UTC 2025","47","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testGetOrderWithInvalidIds","Verify GET /store/order/{orderId} handles invalid order IDs","Test verifies proper error handling when requesting orders with invalid IDs"
